pair_key,normalized_a,normalized_b,attr_a_present,attr_b_present,generated_as_candidate,reason,absent_ground_truth_policy
account number <-> account number,account number,account number,True,True,True,forced from expanded ground truth,exclude_from_main_eval
account number <-> primary account number,account number,primary account number,True,True,True,standard candidate,exclude_from_main_eval
amount <-> amount,amount,amount,True,True,True,standard candidate,exclude_from_main_eval
amount <-> instd amount,amount,instd amount,True,True,True,standard candidate,exclude_from_main_eval
amount <-> transaction amount,amount,transaction amount,True,True,True,standard candidate,exclude_from_main_eval
comment <-> comment,comment,comment,True,True,True,standard candidate,exclude_from_main_eval
comment <-> description,comment,description,True,True,True,standard candidate,exclude_from_main_eval
created <-> created at,created,created at,True,True,True,standard candidate,exclude_from_main_eval
created at <-> created at,created at,created at,True,True,True,standard candidate,exclude_from_main_eval
currency <-> currency,currency,currency,True,True,True,standard candidate,exclude_from_main_eval
currency <-> iso currency code,currency,iso currency code,True,False,False,ATTRIBUTE_ABSENT_FROM_CURRENT_DATASET,exclude_from_main_eval
instd amount <-> transaction amount,instd amount,transaction amount,True,True,True,standard candidate,exclude_from_main_eval
method <-> payment method,method,payment method,True,True,True,standard candidate,exclude_from_main_eval
payee vpa <-> vpa,payee vpa,vpa,True,True,True,standard candidate,exclude_from_main_eval
primary account number <-> primary account number,primary account number,primary account number,True,True,True,standard candidate,exclude_from_main_eval
status <-> status,status,status,True,True,True,standard candidate,exclude_from_main_eval
status <-> transaction status,status,transaction status,True,True,True,standard candidate,exclude_from_main_eval
transaction amount <-> transaction amount,transaction amount,transaction amount,True,True,True,standard candidate,exclude_from_main_eval
transaction identifier <-> transaction identifier,transaction identifier,transaction identifier,True,True,True,standard candidate,exclude_from_main_eval
vpa <-> vpa,vpa,vpa,True,True,True,standard candidate,exclude_from_main_eval
