mode,NormalForm,Status,Actual,Interpretation
embed_only_baseline,EENF,PASS,q95=0.0000; max=0.0000,PASS
embed_only_baseline,AANF,PASS,embedding_min=0.6502; canonical_eq=9; bridged=0; fails=0,PASS
embed_only_baseline,ECNF,FAIL,min_signals=2; bridged=0,FAIL
embed_only_baseline,CMNF,NA,NA_SINGLE_CONTEXT,NOT_EXERCISED
embed_only_baseline,DBNF,NOT_EXERCISED,see dbnf_summary,NOT_EXERCISED
sdnf_hybrid,EENF,PASS,q95=0.0000; max=0.0000,PASS
sdnf_hybrid,AANF,PASS,embedding_min=0.5196; canonical_eq=10; bridged=2; fails=0,PASS
sdnf_hybrid,ECNF,PASS,min_signals=3; bridged=1,PASS
sdnf_hybrid,CMNF,NA,NA_SINGLE_CONTEXT,NOT_EXERCISED
sdnf_hybrid,DBNF,NOT_EXERCISED,see dbnf_summary,NOT_EXERCISED
no_ecnf,EENF,PASS,q95=0.0000; max=0.0000,PASS
no_ecnf,AANF,PASS,embedding_min=0.5196; canonical_eq=10; bridged=2; fails=0,PASS
no_ecnf,ECNF,FAIL,min_signals=2; bridged=1,FAIL
no_ecnf,CMNF,NA,NA_SINGLE_CONTEXT,NOT_EXERCISED
no_ecnf,DBNF,NOT_EXERCISED,see dbnf_summary,NOT_EXERCISED
no_cmnf,EENF,PASS,q95=0.0000; max=0.0000,PASS
no_cmnf,AANF,PASS,embedding_min=0.5196; canonical_eq=10; bridged=2; fails=0,PASS
no_cmnf,ECNF,PASS,min_signals=3; bridged=1,PASS
no_cmnf,CMNF,NA,NA_SINGLE_CONTEXT,NOT_EXERCISED
no_cmnf,DBNF,NOT_EXERCISED,see dbnf_summary,NOT_EXERCISED
no_dbnf,EENF,PASS,q95=0.0000; max=0.0000,PASS
no_dbnf,AANF,PASS,embedding_min=0.5196; canonical_eq=10; bridged=2; fails=0,PASS
no_dbnf,ECNF,PASS,min_signals=3; bridged=1,PASS
no_dbnf,CMNF,NA,NA_SINGLE_CONTEXT,NOT_EXERCISED
no_dbnf,DBNF,NOT_EXERCISED,see dbnf_summary,NOT_EXERCISED
no_value_evidence,EENF,PASS,q95=0.0000; max=0.0000,PASS
no_value_evidence,AANF,PASS,embedding_min=0.7596; canonical_eq=1; bridged=0; fails=0,PASS
no_value_evidence,ECNF,PASS,min_signals=3; bridged=1,PASS
no_value_evidence,CMNF,NA,NA_SINGLE_CONTEXT,NOT_EXERCISED
no_value_evidence,DBNF,NOT_EXERCISED,see dbnf_summary,NOT_EXERCISED
vss_only,EENF,PASS,q95=0.0000; max=0.0000,PASS
vss_only,AANF,FAIL,embedding_min=0.4050; canonical_eq=10; bridged=8; fails=1002,FAIL
vss_only,ECNF,FAIL,min_signals=1; bridged=20,FAIL
vss_only,CMNF,NA,NA_SINGLE_CONTEXT,NOT_EXERCISED
vss_only,DBNF,NOT_EXERCISED,see dbnf_summary,NOT_EXERCISED
shape_only,EENF,PASS,q95=0.0000; max=0.0000,PASS
shape_only,AANF,FAIL,embedding_min=0.4176; canonical_eq=9; bridged=8; fails=556,FAIL
shape_only,ECNF,FAIL,min_signals=2; bridged=20,FAIL
shape_only,CMNF,NA,NA_SINGLE_CONTEXT,NOT_EXERCISED
shape_only,DBNF,NOT_EXERCISED,see dbnf_summary,NOT_EXERCISED
name_ontology_only,EENF,PASS,q95=0.0000; max=0.0000,PASS
name_ontology_only,AANF,PASS,embedding_min=0.5275; canonical_eq=8; bridged=0; fails=0,PASS
name_ontology_only,ECNF,PASS,min_signals=6; bridged=0,PASS
name_ontology_only,CMNF,NA,NA_SINGLE_CONTEXT,NOT_EXERCISED
name_ontology_only,DBNF,NOT_EXERCISED,see dbnf_summary,NOT_EXERCISED
hybrid,EENF,PASS,q95=0.0000; max=0.0000,PASS
hybrid,AANF,PASS,embedding_min=0.5196; canonical_eq=10; bridged=2; fails=0,PASS
hybrid,ECNF,PASS,min_signals=3; bridged=1,PASS
hybrid,CMNF,NA,NA_SINGLE_CONTEXT,NOT_EXERCISED
hybrid,DBNF,NOT_EXERCISED,see dbnf_summary,NOT_EXERCISED
