decision_id,decision_type,raw_attribute_a,raw_attribute_b,canonical_node,payment_type_a,payment_type_b,semantic_family_a,semantic_family_b,role_a,role_b,evidence,normal_form_checks,hard_vetoes,decision_reason,lineage_action,decision_scope,evaluation_scope,track
dec::production::INAmex::primary_account_number::Mastercard::primary_account_number,ACCEPT_MERGE,INAmex.PrimaryAccountNumber,Mastercard.primary_account_number,card_primary_account_number,INAmex,Mastercard,payment_card:pan,payment_card:pan,card_account_identifier,card_account_identifier,"{""embedding_similarity"": 0.9450346923552186, ""explicit_alias"": true, ""name_similarity"": 1.0, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::INAmex::primary_account_number::Plaid::account_number,REJECT,INAmex.PrimaryAccountNumber,Plaid.account_number,card_primary_account_number|bank_account_number,INAmex,Plaid,payment_card:pan,payment_account:account_number,card_account_identifier,bank_account_identifier,"{""embedding_similarity"": 0.5176304474569312, ""explicit_alias"": true, ""name_similarity"": 0.6666666666666666, ""same_canonical"": false, ""same_family"": false, ""signals"": [""schema_declared_alias"", ""name_similarity""]}","{""AANF"": {""reason"": ""schema_declared_alias, name_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""rail mismatch card_payment vs open_banking"", ""status"": ""FAIL""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=2 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""partition mismatch"", ""status"": ""FAIL""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",card PAN must not merge with bank account; schema-declared do_not_merge_with_families veto,card PAN must not merge with bank account; schema-declared do_not_merge_with_families veto,REJECT_UNSAFE_MERGE,rejected,excluded_from_eval,production
dec::production::INAmex::primary_account_number::PPVisa::primary_account_number,ACCEPT_MERGE,INAmex.PrimaryAccountNumber,PPVisa.pan,card_primary_account_number,INAmex,PPVisa,payment_card:pan,payment_card:pan,card_account_identifier,card_account_identifier,"{""embedding_similarity"": 0.8185870411302664, ""explicit_alias"": true, ""name_similarity"": 1.0, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::INAmex::expiration_date::PPVisa::expiration_date,ACCEPT_MERGE,INAmex.ExpirationDate,PPVisa.exp,card_expiration_date,INAmex,PPVisa,payment_card:expiration_date,payment_card:expiration_date,card_validity,card_validity,"{""embedding_similarity"": 0.9569081501011489, ""explicit_alias"": true, ""name_similarity"": 1.0, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::INAmex::card_verification_value::PPVisa::verification_value,ACCEPT_MERGE,INAmex.CardVerificationValue,PPVisa.cvv,card_verification_value,INAmex,PPVisa,payment_card:verification_value,payment_card:verification_value,sensitive_authentication_data,sensitive_authentication_data,"{""embedding_similarity"": 0.8090960446779144, ""explicit_alias"": true, ""name_similarity"": 0.6666666666666666, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=5 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::INAmex::card_holder_name::PPVisa::cardholder,ACCEPT_MERGE,INAmex.CardHolderName,PPVisa.cardholder,cardholder_name,INAmex,PPVisa,party:cardholder_name,party:cardholder_name,cardholder,cardholder,"{""embedding_similarity"": 0.987178933223662, ""explicit_alias"": true, ""name_similarity"": 0.0, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""embedding_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, embedding_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=4 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::ISO20022::instd_amount::Mastercard::transaction_amount,ACCEPT_MERGE,ISO20022.instd_amt,Mastercard.transaction_amount,payment_amount,ISO20022,Mastercard,payment:amount,payment:amount,instructed_amount,transaction_amount,"{""embedding_similarity"": 0.5691913959427989, ""explicit_alias"": true, ""name_similarity"": 0.3333333333333333, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=3 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::ISO20022::instd_amount::Plaid::transaction_amount,ACCEPT_MERGE,ISO20022.instd_amt,Plaid.transaction_amount,payment_amount,ISO20022,Plaid,payment:amount,payment:amount,instructed_amount,transaction_amount,"{""embedding_similarity"": 0.5691913959427989, ""explicit_alias"": true, ""name_similarity"": 0.3333333333333333, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=3 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::ISO20022::instd_amount::Razorpay::amount,ACCEPT_MERGE,ISO20022.instd_amt,Razorpay.amount,payment_amount,ISO20022,Razorpay,payment:amount,payment:amount,instructed_amount,payment_amount_minor_units,"{""embedding_similarity"": 0.5861565558643823, ""explicit_alias"": true, ""name_similarity"": 0.5, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=4 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
dec::production::ISO20022::instd_amount::Stripe::amount,ACCEPT_MERGE,ISO20022.instd_amt,Stripe.amount,payment_amount,ISO20022,Stripe,payment:amount,payment:amount,instructed_amount,payment_amount_minor_units,"{""embedding_similarity"": 0.5861565558643823, ""explicit_alias"": true, ""name_similarity"": 0.5, ""same_canonical"": true, ""same_family"": true, ""signals"": [""same_canonical_hint"", ""same_semantic_family"", ""schema_declared_alias"", ""name_similarity""]}","{""AANF"": {""reason"": ""same_canonical_hint, same_semantic_family, schema_declared_alias, name_similarity"", ""status"": ""PASS""}, ""CMNF"": {""reason"": ""same/compatible rail"", ""status"": ""PASS""}, ""DBNF"": {""reason"": ""version drift evaluated separately in DBNF audit"", ""status"": ""PASS""}, ""ECNF"": {""reason"": ""signals=4 required=2"", ""status"": ""PASS""}, ""PONF"": {""reason"": ""same partition"", ""status"": ""PASS""}, ""RRNF"": {""reason"": ""no role conflict"", ""status"": ""PASS""}}",,schema canonical_hint and semantic_family agree,MERGE_INTO_CANONICAL_NODE,production_merge,main_production_eval,production
