payment_type,payload_file,schema_id,decision,required_missing,unexpected_fields,mapped_fields,normal_form_checks,reasons,pattern_mismatch_diagnostic,record_type,count
INAmex,INAmex_payload_01.json,INAmex_CardPayment_v15,ALLOW,,,"{""canonical_srs_node"": ""card_primary_account_number"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""PrimaryAccountNumber"", ""raw_field"": ""PrimaryAccountNumber"", ""role"": ""card_account_identifier"", ""schema_attribute"": ""PrimaryAccountNumber"", ""semantic_family"": ""payment_card:pan"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""card_expiration_date"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""ExpirationDate"", ""raw_field"": ""ExpirationDate"", ""role"": ""card_validity"", ""schema_attribute"": ""ExpirationDate"", ""semantic_family"": ""payment_card:expiration_date"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""card_verification_value"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""CardVerificationValue"", ""raw_field"": ""CardVerificationValue"", ""role"": ""sensitive_authentication_data"", ""schema_attribute"": ""CardVerificationValue"", ""semantic_family"": ""payment_card:verification_value"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""cardholder_name"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""CardHolderName"", ""raw_field"": ""CardHolderName"", ""role"": ""cardholder"", ""schema_attribute"": ""CardHolderName"", ""semantic_family"": ""party:cardholder_name"", ""value_shape_status"": ""PASS""}","{""AANF"": ""PASS"", ""CMNF"": ""PASS"", ""DBNF"": ""PASS"", ""ECNF"": ""PASS"", ""PONF"": ""PASS"", ""RRNF"": ""PASS""}",,,payload_compliance,
INAmex,INAmex_payload_02.json,INAmex_CardPayment_v15,ALLOW,,,"{""canonical_srs_node"": ""card_primary_account_number"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""PrimaryAccountNumber"", ""raw_field"": ""PrimaryAccountNumber"", ""role"": ""card_account_identifier"", ""schema_attribute"": ""PrimaryAccountNumber"", ""semantic_family"": ""payment_card:pan"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""card_expiration_date"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""ExpirationDate"", ""raw_field"": ""ExpirationDate"", ""role"": ""card_validity"", ""schema_attribute"": ""ExpirationDate"", ""semantic_family"": ""payment_card:expiration_date"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""card_verification_value"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""CardVerificationValue"", ""raw_field"": ""CardVerificationValue"", ""role"": ""sensitive_authentication_data"", ""schema_attribute"": ""CardVerificationValue"", ""semantic_family"": ""payment_card:verification_value"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""cardholder_name"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""CardHolderName"", ""raw_field"": ""CardHolderName"", ""role"": ""cardholder"", ""schema_attribute"": ""CardHolderName"", ""semantic_family"": ""party:cardholder_name"", ""value_shape_status"": ""PASS""}","{""AANF"": ""PASS"", ""CMNF"": ""PASS"", ""DBNF"": ""PASS"", ""ECNF"": ""PASS"", ""PONF"": ""PASS"", ""RRNF"": ""PASS""}",,,payload_compliance,
INAmex,INAmex_payload_03.json,INAmex_CardPayment_v15,ALLOW,,,"{""canonical_srs_node"": ""card_primary_account_number"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""PrimaryAccountNumber"", ""raw_field"": ""PrimaryAccountNumber"", ""role"": ""card_account_identifier"", ""schema_attribute"": ""PrimaryAccountNumber"", ""semantic_family"": ""payment_card:pan"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""card_expiration_date"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""ExpirationDate"", ""raw_field"": ""ExpirationDate"", ""role"": ""card_validity"", ""schema_attribute"": ""ExpirationDate"", ""semantic_family"": ""payment_card:expiration_date"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""card_verification_value"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""CardVerificationValue"", ""raw_field"": ""CardVerificationValue"", ""role"": ""sensitive_authentication_data"", ""schema_attribute"": ""CardVerificationValue"", ""semantic_family"": ""payment_card:verification_value"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""cardholder_name"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""CardHolderName"", ""raw_field"": ""CardHolderName"", ""role"": ""cardholder"", ""schema_attribute"": ""CardHolderName"", ""semantic_family"": ""party:cardholder_name"", ""value_shape_status"": ""PASS""}","{""AANF"": ""PASS"", ""CMNF"": ""PASS"", ""DBNF"": ""PASS"", ""ECNF"": ""PASS"", ""PONF"": ""PASS"", ""RRNF"": ""PASS""}",,,payload_compliance,
INAmex,INAmex_payload_04.json,INAmex_CardPayment_v15,ALLOW,,,"{""canonical_srs_node"": ""card_primary_account_number"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""PrimaryAccountNumber"", ""raw_field"": ""PrimaryAccountNumber"", ""role"": ""card_account_identifier"", ""schema_attribute"": ""PrimaryAccountNumber"", ""semantic_family"": ""payment_card:pan"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""card_expiration_date"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""ExpirationDate"", ""raw_field"": ""ExpirationDate"", ""role"": ""card_validity"", ""schema_attribute"": ""ExpirationDate"", ""semantic_family"": ""payment_card:expiration_date"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""card_verification_value"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""CardVerificationValue"", ""raw_field"": ""CardVerificationValue"", ""role"": ""sensitive_authentication_data"", ""schema_attribute"": ""CardVerificationValue"", ""semantic_family"": ""payment_card:verification_value"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""cardholder_name"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""CardHolderName"", ""raw_field"": ""CardHolderName"", ""role"": ""cardholder"", ""schema_attribute"": ""CardHolderName"", ""semantic_family"": ""party:cardholder_name"", ""value_shape_status"": ""PASS""}","{""AANF"": ""PASS"", ""CMNF"": ""PASS"", ""DBNF"": ""PASS"", ""ECNF"": ""PASS"", ""PONF"": ""PASS"", ""RRNF"": ""PASS""}",,,payload_compliance,
INAmex,INAmex_payload_05.json,INAmex_CardPayment_v15,ALLOW,,,"{""canonical_srs_node"": ""card_primary_account_number"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""PrimaryAccountNumber"", ""raw_field"": ""PrimaryAccountNumber"", ""role"": ""card_account_identifier"", ""schema_attribute"": ""PrimaryAccountNumber"", ""semantic_family"": ""payment_card:pan"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""card_expiration_date"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""ExpirationDate"", ""raw_field"": ""ExpirationDate"", ""role"": ""card_validity"", ""schema_attribute"": ""ExpirationDate"", ""semantic_family"": ""payment_card:expiration_date"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""card_verification_value"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""CardVerificationValue"", ""raw_field"": ""CardVerificationValue"", ""role"": ""sensitive_authentication_data"", ""schema_attribute"": ""CardVerificationValue"", ""semantic_family"": ""payment_card:verification_value"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""cardholder_name"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""CardHolderName"", ""raw_field"": ""CardHolderName"", ""role"": ""cardholder"", ""schema_attribute"": ""CardHolderName"", ""semantic_family"": ""party:cardholder_name"", ""value_shape_status"": ""PASS""}","{""AANF"": ""PASS"", ""CMNF"": ""PASS"", ""DBNF"": ""PASS"", ""ECNF"": ""PASS"", ""PONF"": ""PASS"", ""RRNF"": ""PASS""}",,,payload_compliance,
INAmex,INAmex_payload_06.json,INAmex_CardPayment_v15,ALLOW,,,"{""canonical_srs_node"": ""card_primary_account_number"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""PrimaryAccountNumber"", ""raw_field"": ""PrimaryAccountNumber"", ""role"": ""card_account_identifier"", ""schema_attribute"": ""PrimaryAccountNumber"", ""semantic_family"": ""payment_card:pan"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""card_expiration_date"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""ExpirationDate"", ""raw_field"": ""ExpirationDate"", ""role"": ""card_validity"", ""schema_attribute"": ""ExpirationDate"", ""semantic_family"": ""payment_card:expiration_date"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""card_verification_value"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""CardVerificationValue"", ""raw_field"": ""CardVerificationValue"", ""role"": ""sensitive_authentication_data"", ""schema_attribute"": ""CardVerificationValue"", ""semantic_family"": ""payment_card:verification_value"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""cardholder_name"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""CardHolderName"", ""raw_field"": ""CardHolderName"", ""role"": ""cardholder"", ""schema_attribute"": ""CardHolderName"", ""semantic_family"": ""party:cardholder_name"", ""value_shape_status"": ""PASS""}","{""AANF"": ""PASS"", ""CMNF"": ""PASS"", ""DBNF"": ""PASS"", ""ECNF"": ""PASS"", ""PONF"": ""PASS"", ""RRNF"": ""PASS""}",,,payload_compliance,
INAmex,INAmex_payload_07.json,INAmex_CardPayment_v15,ALLOW,,,"{""canonical_srs_node"": ""card_primary_account_number"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""PrimaryAccountNumber"", ""raw_field"": ""PrimaryAccountNumber"", ""role"": ""card_account_identifier"", ""schema_attribute"": ""PrimaryAccountNumber"", ""semantic_family"": ""payment_card:pan"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""card_expiration_date"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""ExpirationDate"", ""raw_field"": ""ExpirationDate"", ""role"": ""card_validity"", ""schema_attribute"": ""ExpirationDate"", ""semantic_family"": ""payment_card:expiration_date"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""card_verification_value"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""CardVerificationValue"", ""raw_field"": ""CardVerificationValue"", ""role"": ""sensitive_authentication_data"", ""schema_attribute"": ""CardVerificationValue"", ""semantic_family"": ""payment_card:verification_value"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""cardholder_name"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""CardHolderName"", ""raw_field"": ""CardHolderName"", ""role"": ""cardholder"", ""schema_attribute"": ""CardHolderName"", ""semantic_family"": ""party:cardholder_name"", ""value_shape_status"": ""PASS""}","{""AANF"": ""PASS"", ""CMNF"": ""PASS"", ""DBNF"": ""PASS"", ""ECNF"": ""PASS"", ""PONF"": ""PASS"", ""RRNF"": ""PASS""}",,,payload_compliance,
INAmex,INAmex_payload_08.json,INAmex_CardPayment_v15,ALLOW,,,"{""canonical_srs_node"": ""card_primary_account_number"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""PrimaryAccountNumber"", ""raw_field"": ""PrimaryAccountNumber"", ""role"": ""card_account_identifier"", ""schema_attribute"": ""PrimaryAccountNumber"", ""semantic_family"": ""payment_card:pan"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""card_expiration_date"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""ExpirationDate"", ""raw_field"": ""ExpirationDate"", ""role"": ""card_validity"", ""schema_attribute"": ""ExpirationDate"", ""semantic_family"": ""payment_card:expiration_date"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""card_verification_value"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""CardVerificationValue"", ""raw_field"": ""CardVerificationValue"", ""role"": ""sensitive_authentication_data"", ""schema_attribute"": ""CardVerificationValue"", ""semantic_family"": ""payment_card:verification_value"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""cardholder_name"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""CardHolderName"", ""raw_field"": ""CardHolderName"", ""role"": ""cardholder"", ""schema_attribute"": ""CardHolderName"", ""semantic_family"": ""party:cardholder_name"", ""value_shape_status"": ""PASS""}","{""AANF"": ""PASS"", ""CMNF"": ""PASS"", ""DBNF"": ""PASS"", ""ECNF"": ""PASS"", ""PONF"": ""PASS"", ""RRNF"": ""PASS""}",,,payload_compliance,
ISO20022,ISO20022_payload_01.json,ISO20022_pacs008_CreditTransfer_v15,ALLOW,,,"{""canonical_srs_node"": ""message_identifier"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""msg_id"", ""raw_field"": ""msg_id"", ""role"": ""group_header_message_id"", ""schema_attribute"": ""msg_id"", ""semantic_family"": ""identifier:message"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""end_to_end_identifier"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""end_to_end_id"", ""raw_field"": ""end_to_end_id"", ""role"": ""payment_chain_reference"", ""schema_attribute"": ""end_to_end_id"", ""semantic_family"": ""identifier:end_to_end_payment"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""payment_amount"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""instd_amt"", ""raw_field"": ""instd_amt"", ""role"": ""instructed_amount"", ""schema_attribute"": ""instd_amt"", ""semantic_family"": ""payment:amount"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""payment_currency"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""currency"", ""raw_field"": ""currency"", ""role"": ""currency_code"", ""schema_attribute"": ""currency"", ""semantic_family"": ""payment:currency"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""debtor_name"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""dbtr_nm"", ""raw_field"": ""dbtr_nm"", ""role"": ""debtor"", ""schema_attribute"": ""dbtr_nm"", ""semantic_family"": ""party:debtor_name"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""creditor_name"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""cdtr_nm"", ""raw_field"": ""cdtr_nm"", ""role"": ""creditor"", ""schema_attribute"": ""cdtr_nm"", ""semantic_family"": ""party:creditor_name"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""debtor_account"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""dbtr_acct"", ""raw_field"": ""dbtr_acct"", ""role"": ""debtor_account"", ""schema_attribute"": ""dbtr_acct"", ""semantic_family"": ""payment_account:debtor_account"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""creditor_account"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""cdtr_acct"", ""raw_field"": ""cdtr_acct"", ""role"": ""creditor_account"", ""schema_attribute"": ""cdtr_acct"", ""semantic_family"": ""payment_account:creditor_account"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""requested_execution_date"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""reqd_exctn_dt"", ""raw_field"": ""reqd_exctn_dt"", ""role"": ""requested_execution_date"", ""schema_attribute"": ""reqd_exctn_dt"", ""semantic_family"": ""temporal:requested_execution_date"", ""value_shape_status"": ""PASS""}","{""AANF"": ""PASS"", ""CMNF"": ""PASS"", ""DBNF"": ""PASS"", ""ECNF"": ""PASS"", ""PONF"": ""PASS"", ""RRNF"": ""PASS""}",,,payload_compliance,
ISO20022,ISO20022_payload_02.json,ISO20022_pacs008_CreditTransfer_v15,ALLOW,,,"{""canonical_srs_node"": ""message_identifier"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""msg_id"", ""raw_field"": ""msg_id"", ""role"": ""group_header_message_id"", ""schema_attribute"": ""msg_id"", ""semantic_family"": ""identifier:message"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""end_to_end_identifier"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""end_to_end_id"", ""raw_field"": ""end_to_end_id"", ""role"": ""payment_chain_reference"", ""schema_attribute"": ""end_to_end_id"", ""semantic_family"": ""identifier:end_to_end_payment"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""payment_amount"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""instd_amt"", ""raw_field"": ""instd_amt"", ""role"": ""instructed_amount"", ""schema_attribute"": ""instd_amt"", ""semantic_family"": ""payment:amount"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""payment_currency"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""currency"", ""raw_field"": ""currency"", ""role"": ""currency_code"", ""schema_attribute"": ""currency"", ""semantic_family"": ""payment:currency"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""debtor_name"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""dbtr_nm"", ""raw_field"": ""dbtr_nm"", ""role"": ""debtor"", ""schema_attribute"": ""dbtr_nm"", ""semantic_family"": ""party:debtor_name"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""creditor_name"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""cdtr_nm"", ""raw_field"": ""cdtr_nm"", ""role"": ""creditor"", ""schema_attribute"": ""cdtr_nm"", ""semantic_family"": ""party:creditor_name"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""debtor_account"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""dbtr_acct"", ""raw_field"": ""dbtr_acct"", ""role"": ""debtor_account"", ""schema_attribute"": ""dbtr_acct"", ""semantic_family"": ""payment_account:debtor_account"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""creditor_account"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""cdtr_acct"", ""raw_field"": ""cdtr_acct"", ""role"": ""creditor_account"", ""schema_attribute"": ""cdtr_acct"", ""semantic_family"": ""payment_account:creditor_account"", ""value_shape_status"": ""PASS""}; {""canonical_srs_node"": ""requested_execution_date"", ""evidence"": [""schema_match"", ""constraint pass""], ""path"": ""reqd_exctn_dt"", ""raw_field"": ""reqd_exctn_dt"", ""role"": ""requested_execution_date"", ""schema_attribute"": ""reqd_exctn_dt"", ""semantic_family"": ""temporal:requested_execution_date"", ""value_shape_status"": ""PASS""}","{""AANF"": ""PASS"", ""CMNF"": ""PASS"", ""DBNF"": ""PASS"", ""ECNF"": ""PASS"", ""PONF"": ""PASS"", ""RRNF"": ""PASS""}",,,payload_compliance,
