source,alias_group_id,raw_members,normalized_a,normalized_b,pair_key,basis
alias_group,0,primary_account_number; account_number; acct_num; pan,account number,primary account number,account number <-> primary account number,Payment account/card-number identifiers. Excludes role-specific payer_account and routing_number.
alias_group,1,transaction_amount; txn_amount; amount; instd_amount,amount,instd amount,amount <-> instd amount,"Payment amount fields across card, account, ISO20022, Razorpay, Stripe, and UPI schemas."
alias_group,1,transaction_amount; txn_amount; amount; instd_amount,amount,transaction amount,amount <-> transaction amount,"Payment amount fields across card, account, ISO20022, Razorpay, Stripe, and UPI schemas."
alias_group,1,transaction_amount; txn_amount; amount; instd_amount,instd amount,transaction amount,instd amount <-> transaction amount,"Payment amount fields across card, account, ISO20022, Razorpay, Stripe, and UPI schemas."
alias_group,2,currency; iso_currency_code; ccy,currency,iso currency code,currency <-> iso currency code,Currency-code fields.
alias_group,3,description; memo; note; comment; _comment; //comment,comment,description,comment <-> description,Narrative/comment/description text fields.
alias_group,4,created_at; created,created,created at,created <-> created at,Creation timestamp/date fields observed as created and created_at.
alias_group,5,payment_method; method,method,payment method,method <-> payment method,Payment method fields.
alias_group,6,transaction_status; txn_status; status,status,transaction status,status <-> transaction status,Transaction/payment status fields.
alias_group,8,vpa; payee_vpa,payee vpa,vpa,payee vpa <-> vpa,Virtual payment address fields; retained as alias for this v11 reviewed universe because the accepted candidate was VPA-to-VPA rather than account-to-party.
explicit_true_pairs,,,account number,primary account number,account number <-> primary account number,explicit true pair
explicit_true_pairs,,,account number,primary account number,account number <-> primary account number,explicit true pair
explicit_true_pairs,,,account number,account number,account number <-> account number,explicit true pair
explicit_true_pairs,,,primary account number,primary account number,primary account number <-> primary account number,explicit true pair
explicit_true_pairs,,,account number,primary account number,account number <-> primary account number,explicit true pair
explicit_true_pairs,,,amount,transaction amount,amount <-> transaction amount,explicit true pair
explicit_true_pairs,,,amount,transaction amount,amount <-> transaction amount,explicit true pair
explicit_true_pairs,,,amount,instd amount,amount <-> instd amount,explicit true pair
explicit_true_pairs,,,transaction amount,transaction amount,transaction amount <-> transaction amount,explicit true pair
explicit_true_pairs,,,instd amount,transaction amount,instd amount <-> transaction amount,explicit true pair
explicit_true_pairs,,,instd amount,transaction amount,instd amount <-> transaction amount,explicit true pair
explicit_true_pairs,,,amount,amount,amount <-> amount,explicit true pair
explicit_true_pairs,,,transaction amount,transaction amount,transaction amount <-> transaction amount,explicit true pair
explicit_true_pairs,,,currency,iso currency code,currency <-> iso currency code,explicit true pair
explicit_true_pairs,,,currency,currency,currency <-> currency,explicit true pair
explicit_true_pairs,,,currency,currency,currency <-> currency,explicit true pair
explicit_true_pairs,,,comment,description,comment <-> description,explicit true pair
explicit_true_pairs,,,comment,description,comment <-> description,explicit true pair
explicit_true_pairs,,,comment,description,comment <-> description,explicit true pair
explicit_true_pairs,,,comment,comment,comment <-> comment,explicit true pair
explicit_true_pairs,,,comment,comment,comment <-> comment,explicit true pair
explicit_true_pairs,,,comment,comment,comment <-> comment,explicit true pair
explicit_true_pairs,,,created,created at,created <-> created at,explicit true pair
explicit_true_pairs,,,created at,created at,created at <-> created at,explicit true pair
explicit_true_pairs,,,method,payment method,method <-> payment method,explicit true pair
explicit_true_pairs,,,status,transaction status,status <-> transaction status,explicit true pair
explicit_true_pairs,,,status,transaction status,status <-> transaction status,explicit true pair
explicit_true_pairs,,,status,status,status <-> status,explicit true pair
explicit_true_pairs,,,transaction identifier,transaction identifier,transaction identifier <-> transaction identifier,explicit true pair
explicit_true_pairs,,,transaction identifier,transaction identifier,transaction identifier <-> transaction identifier,explicit true pair
explicit_true_pairs,,,payee vpa,vpa,payee vpa <-> vpa,explicit true pair
explicit_true_pairs,,,vpa,vpa,vpa <-> vpa,explicit true pair
