alias_group_id,raw_a,raw_b,normalized_a,normalized_b,pair_key,source,basis
0,account number,primary account number,account number,primary account number,account number <-> primary account number,alias_group,Payment account/card-number identifiers. Excludes role-specific payer_account and routing_number.
1,amount,instd amount,amount,instd amount,amount <-> instd amount,alias_group,"Payment amount fields across card, account, ISO20022, Razorpay, Stripe, and UPI schemas."
1,amount,transaction amount,amount,transaction amount,amount <-> transaction amount,alias_group,"Payment amount fields across card, account, ISO20022, Razorpay, Stripe, and UPI schemas."
1,instd amount,transaction amount,instd amount,transaction amount,instd amount <-> transaction amount,alias_group,"Payment amount fields across card, account, ISO20022, Razorpay, Stripe, and UPI schemas."
2,currency,iso currency code,currency,iso currency code,currency <-> iso currency code,alias_group,Currency-code fields.
3,comment,description,comment,description,comment <-> description,alias_group,Narrative/comment/description text fields.
4,created,created at,created,created at,created <-> created at,alias_group,Creation timestamp/date fields observed as created and created_at.
5,method,payment method,method,payment method,method <-> payment method,alias_group,Payment method fields.
6,status,transaction status,status,transaction status,status <-> transaction status,alias_group,Transaction/payment status fields.
8,payee vpa,vpa,payee vpa,vpa,payee vpa <-> vpa,alias_group,Virtual payment address fields; retained as alias for this v11 reviewed universe because the accepted candidate was VPA-to-VPA rather than account-to-party.
explicit_true_pairs,acct_num,account_number,account number,account number,account number <-> account number,explicit_true_pairs,explicit true pair
explicit_true_pairs,pan,primary_account_number,primary account number,primary account number,primary account number <-> primary account number,explicit_true_pairs,explicit true pair
explicit_true_pairs,transaction_amount,txn_amount,transaction amount,transaction amount,transaction amount <-> transaction amount,explicit_true_pairs,explicit true pair
explicit_true_pairs,amount,amount,amount,amount,amount <-> amount,explicit_true_pairs,explicit true pair
explicit_true_pairs,currency,ccy,currency,currency,currency <-> currency,explicit_true_pairs,explicit true pair
explicit_true_pairs,comment,_comment,comment,comment,comment <-> comment,explicit_true_pairs,explicit true pair
explicit_true_pairs,created_at,created_at,created at,created at,created at <-> created at,explicit_true_pairs,explicit true pair
explicit_true_pairs,status,status,status,status,status <-> status,explicit_true_pairs,explicit true pair
explicit_true_pairs,transaction_id,txn_id,transaction identifier,transaction identifier,transaction identifier <-> transaction identifier,explicit_true_pairs,explicit true pair
explicit_true_pairs,vpa,vpa,vpa,vpa,vpa <-> vpa,explicit_true_pairs,explicit true pair
