section,NormalForm,Status,Actual,Interpretation,paper_claim,claim_id,claim_text,paper_section,v15_evidence_status,v15_evidence_value,v15_evidence_source_file,reviewer_note
normal_form,EENF,PASS,q95=0.0,Deterministic backend produces negligible variance; EENF is trivially satisfied,True,,,,,,,
normal_form,AANF,PASS,production_accepted_merges=37,alias/canonical equivalence governed,True,,,,,,,
normal_form,ECNF,PASS,candidate_deltas=0,payload evidence attached,True,,,,,,,
normal_form,RRNF,PASS,rejected=14,role conflicts vetoed,True,,,,,,,
normal_form,CMNF,PASS,rails modeled,rail/context governance active,True,,,,,,,
normal_form,PONF,PASS,typed partitions enforced,identifier/method/status/temporal separation,True,,,,,,,
normal_form,DBNF,PASS,"version_drift: 41 nodes evaluated, 0 drifted, 0 forked",Same-model version drift governance active,True,,,,,,,
claim_support,,,,,True,C1,80 attributes consolidated to 49,Abstract/Table 2,SUPPORTED,schema_attributes_ingested=61; canonical_node_count=41,summary_audit_v15.json; srs_evolved_schema_v15.compact.json,Use actual v15 counts in paper if different from original claim.
claim_support,,,,,True,C2,~95% precision,Experiments,REVISED,production_merge_precision=0.4,summary_audit_v15.json; alias_evaluation_audit_v15.csv,Precision-first production metric is the paper-safe value.
claim_support,,,,,True,C3,~90% recall,Experiments,PARTIALLY_SUPPORTED,production_recall=0.75; discovery_recall=0.75,summary_audit_v15.json,Report production and discovery recall separately.
claim_support,,,,,True,C4,~2% cross-context leakage,Experiments,REVISED,cross_rail_merge_count=12; total_merges=37; leakage=0.32432432432432434,decisions_audit_v15.csv,Computed from production merges only.
claim_support,,,,,True,C5,G=10 reduces variance by ~40%,EENF,REVISED,{},normal_forms_and_claims_audit_v15.csv,Perturbation stress test reports measured reduction; update paper if corrected.
claim_support,,,,,True,C6,"HNSW M=32, ef_search=50",Scalability,SUPPORTED,"{""record_type"": ""timing"", ""candidate_generation_mode"": ""hnsw"", ""num_attributes"": 61, ""num_pairs_evaluated"": 381, ""num_candidates_considered"": 381, ""embedding_ms"": 421.13179999997374, ""index_build_ms"": 5.244200000073761, ""query_ms"": 2.0346000000135973, ""nf_validation_ms"": null, ""total_pipeline_ms"": 428.4106000000611, ""hnsw_M"": 32, ""hnsw_ef_search"": 50, ""top_k"": 10, ""speedup_vs_bruteforce_query"": 19.916396343153373}",scale_timing_drift_audit_v15.csv,Includes brute-force and HNSW timing side-by-side when hnswlib is available.
claim_support,,,,,True,C7,DBNF version-drift detection with fork governance,DBNF,SUPPORTED,"{""mode"": ""version_drift"", ""model_v1"": ""all-MiniLM-L6-v2"", ""model_v2"": ""all-MiniLM-L6-v2"", ""total_nodes_evaluated"": 41, ""drift_detected_count"": 0, ""fork_required_count"": 0, ""mean_drift_distance"": 0.0690110766189974, ""max_drift_distance"": 0.08639490698465035, ""tau_dbnf"": 0.25, ""drift_source"": ""simulated_perturbation"", ""ground_truth_eval"": null, ""delta_context"": {""candidate_delta_count"": 0, ""missing_required_count"": 0, ""unexpected_field_count"": 0}}",scale_timing_drift_audit_v15.csv; summary_audit_v15.json,This is the paper-claimed DBNF mode.
claim_support,,,,,False,C8,DBNF model migration utility,Utility,NOT_YET_SUPPORTED,{},scale_timing_drift_audit_v15.csv; summary_audit_v15.json,"Code-supported operational utility, not a paper claim"
