fn_id,source,dest,humanreview,humancomment
FN_0001,account_identifier,plaid_account_identifier,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0002,account_number,bank_account_number,ACCEPT,Both represent the same identifier/code concept with lexical variation or abbreviation; canonical merge is appropriate.
FN_0003,account_number,plaid_account_number,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0004,account_type,plaid_account_type,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0005,account_type,subtype,REJECT,"""subtype"" is typically a narrower category than ""account_type""; keep separate to avoid collapsing account classification levels (type vs subtype)."
FN_0006,account_type,type,ACCEPT,Lexicon-quality FN pair is a lexical/alias variant of the same payment concept; merge is acceptable at canonical schema level (ensure role/unit/vocab guards where relevant).
FN_0007,addr,razorpay_virtual_payment_address,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0008,addr,upi_virtual_payment_address,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0009,addr,virtual_payment_address,ACCEPT,Lexicon-quality FN pair is a lexical/alias variant of the same payment concept; merge is acceptable at canonical schema level (ensure role/unit/vocab guards where relevant).
FN_0010,amount,instructed_amount,ACCEPT,Both denote payment/transaction amount; merge at canonical level. Guard for unit scaling (major vs minor units) where providers represent smallest currency units.
FN_0011,amount,iso20022_instructed_amount,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0012,amount,mastercard_transaction_amount,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0013,amount,payment_amount,ACCEPT,Both denote payment/transaction amount; merge at canonical level. Guard for unit scaling (major vs minor units) where providers represent smallest currency units.
FN_0014,amount,plaid_transaction_amount,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0015,amount,razorpay_amount,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0016,amount,stripe_amount,ACCEPT,"Provider/standard-prefixed variant of the same payment concept; prefix encodes source system, not semantics. Canonical merge is appropriate (with value/vocab normalization where applicable)."
FN_0017,amount,transaction_amount,ACCEPT,Both denote payment/transaction amount; merge at canonical level. Guard for unit scaling (major vs minor units) where providers represent smallest currency units.
