payment_type,payload_file,schema_id,decision,required_missing,unexpected_fields,mapped_fields,normal_form_checks,reasons,pattern_mismatch_diagnostic
INAmex,INAmex_payload_01.json,INAmex_CardPayment_v15,PASS,,,"{""canonical_node"": ""card_primary_account_number"", ""field"": ""PrimaryAccountNumber"", ""semantic_family"": ""payment_card:pan""}; {""canonical_node"": ""card_expiration_date"", ""field"": ""ExpirationDate"", ""semantic_family"": ""payment_card:expiration_date""}; {""canonical_node"": ""card_verification_value"", ""field"": ""CardVerificationValue"", ""semantic_family"": ""payment_card:verification_value""}; {""canonical_node"": ""cardholder_name"", ""field"": ""CardHolderName"", ""semantic_family"": ""party:cardholder_name""}","{""payload_schema_mapping"": ""PASS""}",,
INAmex,INAmex_payload_02.json,INAmex_CardPayment_v15,PASS,,,"{""canonical_node"": ""card_primary_account_number"", ""field"": ""PrimaryAccountNumber"", ""semantic_family"": ""payment_card:pan""}; {""canonical_node"": ""card_expiration_date"", ""field"": ""ExpirationDate"", ""semantic_family"": ""payment_card:expiration_date""}; {""canonical_node"": ""card_verification_value"", ""field"": ""CardVerificationValue"", ""semantic_family"": ""payment_card:verification_value""}; {""canonical_node"": ""cardholder_name"", ""field"": ""CardHolderName"", ""semantic_family"": ""party:cardholder_name""}","{""payload_schema_mapping"": ""PASS""}",,
INAmex,INAmex_payload_03.json,INAmex_CardPayment_v15,PASS,,,"{""canonical_node"": ""card_primary_account_number"", ""field"": ""PrimaryAccountNumber"", ""semantic_family"": ""payment_card:pan""}; {""canonical_node"": ""card_expiration_date"", ""field"": ""ExpirationDate"", ""semantic_family"": ""payment_card:expiration_date""}; {""canonical_node"": ""card_verification_value"", ""field"": ""CardVerificationValue"", ""semantic_family"": ""payment_card:verification_value""}; {""canonical_node"": ""cardholder_name"", ""field"": ""CardHolderName"", ""semantic_family"": ""party:cardholder_name""}","{""payload_schema_mapping"": ""PASS""}",,
INAmex,INAmex_payload_04.json,INAmex_CardPayment_v15,PASS,,,"{""canonical_node"": ""card_primary_account_number"", ""field"": ""PrimaryAccountNumber"", ""semantic_family"": ""payment_card:pan""}; {""canonical_node"": ""card_expiration_date"", ""field"": ""ExpirationDate"", ""semantic_family"": ""payment_card:expiration_date""}; {""canonical_node"": ""card_verification_value"", ""field"": ""CardVerificationValue"", ""semantic_family"": ""payment_card:verification_value""}; {""canonical_node"": ""cardholder_name"", ""field"": ""CardHolderName"", ""semantic_family"": ""party:cardholder_name""}","{""payload_schema_mapping"": ""PASS""}",,
INAmex,INAmex_payload_05.json,INAmex_CardPayment_v15,PASS,,,"{""canonical_node"": ""card_primary_account_number"", ""field"": ""PrimaryAccountNumber"", ""semantic_family"": ""payment_card:pan""}; {""canonical_node"": ""card_expiration_date"", ""field"": ""ExpirationDate"", ""semantic_family"": ""payment_card:expiration_date""}; {""canonical_node"": ""card_verification_value"", ""field"": ""CardVerificationValue"", ""semantic_family"": ""payment_card:verification_value""}; {""canonical_node"": ""cardholder_name"", ""field"": ""CardHolderName"", ""semantic_family"": ""party:cardholder_name""}","{""payload_schema_mapping"": ""PASS""}",,
INAmex,INAmex_payload_06.json,INAmex_CardPayment_v15,PASS,,,"{""canonical_node"": ""card_primary_account_number"", ""field"": ""PrimaryAccountNumber"", ""semantic_family"": ""payment_card:pan""}; {""canonical_node"": ""card_expiration_date"", ""field"": ""ExpirationDate"", ""semantic_family"": ""payment_card:expiration_date""}; {""canonical_node"": ""card_verification_value"", ""field"": ""CardVerificationValue"", ""semantic_family"": ""payment_card:verification_value""}; {""canonical_node"": ""cardholder_name"", ""field"": ""CardHolderName"", ""semantic_family"": ""party:cardholder_name""}","{""payload_schema_mapping"": ""PASS""}",,
INAmex,INAmex_payload_07.json,INAmex_CardPayment_v15,PASS,,,"{""canonical_node"": ""card_primary_account_number"", ""field"": ""PrimaryAccountNumber"", ""semantic_family"": ""payment_card:pan""}; {""canonical_node"": ""card_expiration_date"", ""field"": ""ExpirationDate"", ""semantic_family"": ""payment_card:expiration_date""}; {""canonical_node"": ""card_verification_value"", ""field"": ""CardVerificationValue"", ""semantic_family"": ""payment_card:verification_value""}; {""canonical_node"": ""cardholder_name"", ""field"": ""CardHolderName"", ""semantic_family"": ""party:cardholder_name""}","{""payload_schema_mapping"": ""PASS""}",,
INAmex,INAmex_payload_08.json,INAmex_CardPayment_v15,PASS,,,"{""canonical_node"": ""card_primary_account_number"", ""field"": ""PrimaryAccountNumber"", ""semantic_family"": ""payment_card:pan""}; {""canonical_node"": ""card_expiration_date"", ""field"": ""ExpirationDate"", ""semantic_family"": ""payment_card:expiration_date""}; {""canonical_node"": ""card_verification_value"", ""field"": ""CardVerificationValue"", ""semantic_family"": ""payment_card:verification_value""}; {""canonical_node"": ""cardholder_name"", ""field"": ""CardHolderName"", ""semantic_family"": ""party:cardholder_name""}","{""payload_schema_mapping"": ""PASS""}",,
ISO20022,ISO20022_payload_01.json,ISO20022_pacs008_CreditTransfer_v15,PASS,,,"{""canonical_node"": ""message_identifier"", ""field"": ""msg_id"", ""semantic_family"": ""identifier:message""}; {""canonical_node"": ""end_to_end_identifier"", ""field"": ""end_to_end_id"", ""semantic_family"": ""identifier:end_to_end_payment""}; {""canonical_node"": ""payment_amount"", ""field"": ""instd_amt"", ""semantic_family"": ""payment:amount""}; {""canonical_node"": ""payment_currency"", ""field"": ""currency"", ""semantic_family"": ""payment:currency""}; {""canonical_node"": ""debtor_name"", ""field"": ""dbtr_nm"", ""semantic_family"": ""party:debtor_name""}; {""canonical_node"": ""creditor_name"", ""field"": ""cdtr_nm"", ""semantic_family"": ""party:creditor_name""}; {""canonical_node"": ""debtor_account"", ""field"": ""dbtr_acct"", ""semantic_family"": ""payment_account:debtor_account""}; {""canonical_node"": ""creditor_account"", ""field"": ""cdtr_acct"", ""semantic_family"": ""payment_account:creditor_account""}; {""canonical_node"": ""requested_execution_date"", ""field"": ""reqd_exctn_dt"", ""semantic_family"": ""temporal:requested_execution_date""}","{""payload_schema_mapping"": ""PASS""}",,
ISO20022,ISO20022_payload_02.json,ISO20022_pacs008_CreditTransfer_v15,PASS,,,"{""canonical_node"": ""message_identifier"", ""field"": ""msg_id"", ""semantic_family"": ""identifier:message""}; {""canonical_node"": ""end_to_end_identifier"", ""field"": ""end_to_end_id"", ""semantic_family"": ""identifier:end_to_end_payment""}; {""canonical_node"": ""payment_amount"", ""field"": ""instd_amt"", ""semantic_family"": ""payment:amount""}; {""canonical_node"": ""payment_currency"", ""field"": ""currency"", ""semantic_family"": ""payment:currency""}; {""canonical_node"": ""debtor_name"", ""field"": ""dbtr_nm"", ""semantic_family"": ""party:debtor_name""}; {""canonical_node"": ""creditor_name"", ""field"": ""cdtr_nm"", ""semantic_family"": ""party:creditor_name""}; {""canonical_node"": ""debtor_account"", ""field"": ""dbtr_acct"", ""semantic_family"": ""payment_account:debtor_account""}; {""canonical_node"": ""creditor_account"", ""field"": ""cdtr_acct"", ""semantic_family"": ""payment_account:creditor_account""}; {""canonical_node"": ""requested_execution_date"", ""field"": ""reqd_exctn_dt"", ""semantic_family"": ""temporal:requested_execution_date""}","{""payload_schema_mapping"": ""PASS""}",,
